mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020618772506713866,0.005530400630004117,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
8.742749881744384,0.14180857210464756,0.009220027923583984,0.0009831177617348784,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.0303192138671875,0.0034593301878571596,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
8.737782907485961,0.07756444258083577,0.009637689590454102,0.0020313903894744446,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.02321019172668457,0.003738483158057033,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
8.691545724868774,0.14568837661105355,0.008933067321777344,0.0010947913966590428,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.031286001205444336,0.003977806411976652,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
8.667246675491333,0.2053515455889556,0.00940690040588379,0.001646721648152618,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.022311019897460937,0.0010319975271494608,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
8.643696832656861,0.17473364096232077,0.009784698486328125,0.0010326198271268484,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.027951145172119142,0.003520789481695263,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
8.699261045455932,0.13057630762774397,0.0077307701110839845,0.0018286220613750754,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
0.028793191909790038,0.003812712336538593,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
6.3947169303894045,1.833684163738128,0.0049746036529541016,0.0011783998458865651,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",0.5389343393667076,0.5389343393667076,0.5388919503200373,0.5389343393667076,0.5389571852479864,0.5389304307336295,2.1177244893125026e-05,1
